sample_id,bio01_temp,bio12_precip,bio15_precip_season,elevation,landforms,soil_clay,soil_oc,soil_ph,label
34952_0,156.0,1215.0,18.0,75,24,13,2,57,5
34953_0,164.0,1272.0,20.0,61,42,16,5,54,3
34963_0,164.0,1359.0,20.0,49,34,43,2,61,1
34977_0,163.0,1345.0,20.0,42,41,29,13,78,99
34981_0,172.0,1371.0,22.0,37,24,31,2,60,99
34982_0,156.0,1213.0,18.0,77,34,25,3,59,1
34989_0,160.0,1239.0,19.0,70,34,18,3,58,5
34995_0,165.0,1320.0,20.0,45,24,36,3,65,3
34998_0,162.0,1289.0,20.0,83,34,23,2,59,1
35012_0,162.0,1352.0,21.0,49,34,30,2,58,5
35050_0,160.0,1246.0,20.0,73,41,15,3,58,5
35055_0,157.0,1261.0,19.0,67,34,20,2,63,3
35062_0,162.0,1275.0,20.0,54,24,30,4,57,5
35077_0,146.0,1200.0,17.0,163,42,16,2,57,1
35104_0,162.0,1300.0,20.0,56,24,21,6,57,5
35133_0,159.0,1321.0,20.0,67,24,10,2,58,3
35135_0,164.0,1357.0,20.0,51,34,18,2,59,2
35146_0,156.0,1299.0,20.0,131,21,15,2,52,3
35147_0,161.0,1326.0,22.0,59,34,30,2,62,5
35156_0,159.0,1236.0,20.0,64,24,16,4,60,3
35157_0,151.0,1205.0,17.0,73,41,23,3,62,5
35163_0,169.0,1393.0,21.0,40,24,26,3,63,99
35172_0,168.0,1378.0,21.0,49,24,19,3,57,2
35174_0,167.0,1270.0,20.0,61,34,18,2,58,3
35185_0,154.0,1249.0,19.0,69,41,17,2,59,3
35195_0,160.0,1320.0,21.0,66,24,18,4,53,1
35229_0,160.0,1309.0,21.0,57,24,27,2,63,5
35238_0,171.0,1337.0,21.0,40,34,43,2,60,3
35248_0,161.0,1281.0,20.0,55,41,20,3,58,3
35274_0,172.0,1319.0,17.0,47,41,24,2,57,99
35291_0,164.0,1309.0,20.0,55,34,29,7,63,1
35303_0,171.0,1359.0,21.0,41,34,45,3,63,1
35305_0,171.0,1395.0,22.0,39,24,37,4,60,1
35329_0,160.0,1233.0,19.0,67,34,18,2,57,5
35341_0,151.0,1240.0,18.0,77,24,18,2,58,1
35342_0,159.0,1259.0,20.0,67,24,23,2,59,2
35344_0,171.0,1303.0,17.0,48,24,33,2,61,5
35362_0,150.0,1214.0,17.0,151,21,18,3,56,5
35376_0,160.0,1303.0,20.0,106,24,23,3,55,5
35388_0,161.0,1252.0,20.0,66,24,16,3,59,5
35395_0,160.0,1273.0,21.0,65,24,16,2,57,5
35397_0,153.0,1255.0,18.0,69,24,28,4,72,3
35404_0,167.0,1272.0,20.0,69,34,23,2,61,5
35414_0,165.0,1437.0,20.0,114,21,17,4,53,3
35419_0,167.0,1428.0,21.0,111,21,13,3,53,5
35426_0,158.0,1243.0,20.0,64,41,22,16,64,3
35427_0,167.0,1315.0,20.0,45,21,25,29,59,3
35435_0,165.0,1266.0,20.0,59,34,19,2,57,5
35466_0,133.0,1173.0,16.0,235,32,15,2,55,5
35474_0,166.0,1263.0,20.0,62,24,17,2,58,5
35475_0,151.0,1237.0,18.0,89,34,16,2,54,3
35485_0,147.0,1209.0,18.0,92,34,35,6,67,5
35493_0,154.0,1250.0,19.0,70,24,11,2,57,2
35514_0,166.0,1342.0,21.0,48,34,41,3,59,5
35520_0,161.0,1298.0,22.0,62,24,21,2,58,3
35539_0,159.0,1235.0,20.0,77,24,16,2,58,5
35554_0,156.0,1248.0,19.0,66,31,42,5,58,5
35567_0,153.0,1258.0,18.0,71,24,21,2,61,99
35574_0,166.0,1311.0,20.0,45,41,25,9,63,2
35585_0,170.0,1373.0,21.0,42,24,41,3,60,5
35589_0,156.0,1250.0,19.0,66,34,41,6,63,3
35592_0,170.0,1351.0,21.0,40,34,49,4,63,3
35593_0,160.0,1241.0,20.0,63,24,31,3,59,5
35609_0,152.0,1252.0,18.0,73,41,17,2,63,3
35643_0,163.0,1430.0,21.0,122,21,20,6,52,5
35644_0,172.0,1396.0,21.0,38,24,21,2,58,99
35665_0,161.0,1277.0,20.0,62,34,16,2,61,5
35681_0,153.0,1214.0,17.0,79,24,27,2,62,5
35697_0,169.0,1309.0,19.0,58,24,32,20,65,1
35722_0,167.0,1369.0,21.0,48,24,18,2,61,5
35727_0,157.0,1249.0,20.0,65,24,32,3,63,2
35733_0,160.0,1253.0,20.0,64,24,41,4,58,99
35755_0,157.0,1210.0,18.0,74,34,15,2,59,1
35766_0,144.0,1196.0,17.0,136,21,16,2,60,99
35775_0,144.0,1202.0,16.0,88,34,19,3,59,1
35798_0,159.0,1264.0,20.0,67,41,34,1,64,5
35813_0,162.0,1285.0,20.0,62,24,16,2,58,3
35816_0,172.0,1369.0,22.0,39,24,35,2,58,99
35830_0,172.0,1398.0,22.0,39,24,19,2,58,5
35845_0,166.0,1317.0,20.0,46,34,35,4,62,99
35854_0,165.0,1323.0,20.0,44,24,25,2,62,5
35866_0,159.0,1245.0,20.0,66,24,28,3,63,3
35867_0,160.0,1296.0,20.0,68,34,15,2,57,5
35878_0,156.0,1308.0,19.0,140,24,18,2,53,1
35879_0,159.0,1223.0,19.0,69,34,24,2,59,3
35921_0,131.0,1173.0,16.0,268,31,14,3,54,5
35976_0,170.0,1339.0,19.0,43,24,18,2,59,5
35987_0,143.0,1190.0,16.0,129,31,17,2,61,5
36006_0,149.0,1216.0,17.0,88,34,17,2,60,3
36011_0,160.0,1277.0,20.0,63,24,20,3,60,3
36015_0,171.0,1371.0,22.0,42,24,37,2,60,5
36024_0,163.0,1340.0,20.0,51,24,30,2,61,5
36025_0,160.0,1338.0,21.0,60,34,27,7,64,5
36033_0,164.0,1386.0,21.0,62,34,16,2,58,3
36040_0,163.0,1410.0,21.0,92,21,22,10,52,1
36047_0,137.0,1185.0,16.0,217,21,15,3,56,5
36053_0,170.0,1360.0,22.0,42,34,40,4,60,3
36056_0,159.0,1264.0,20.0,72,24,25,3,62,5
36065_0,164.0,1278.0,20.0,66,24,14,2,57,5
36080_0,158.0,1231.0,20.0,68,34,16,3,62,3
36083_0,158.0,1223.0,19.0,65,34,20,3,58,3
36089_0,148.0,1233.0,19.0,78,24,11,2,60,2
36090_0,161.0,1265.0,19.0,61,24,29,5,58,5
36093_0,155.0,1206.0,18.0,80,24,15,3,60,1
36097_0,155.0,1213.0,18.0,77,24,24,3,57,5
36102_0,156.0,1273.0,19.0,79,24,29,5,64,5
36107_0,160.0,1280.0,21.0,60,21,40,4,63,3
36108_0,159.0,1229.0,19.0,75,24,14,2,59,5
36110_0,157.0,1250.0,20.0,66,24,36,4,62,5
