sample_id,bio01_temp,bio12_precip,bio15_precip_season,elevation,landforms,soil_clay,soil_oc,soil_ph,label
3094_0,12.0,1516.0,82.0,1012,21,24,9,5.6,1
3100_0,16.2,479.0,81.0,112,22,23,2,7.2,1
3105_0,14.7,645.0,92.0,2,34,29,4,7.1,1
3131_0,16.4,697.0,77.0,213,21,22,3,7.1,1
3132_0,16.3,641.0,84.0,82,31,16,2,6.6,1
3148_0,6.2,1150.0,68.0,1766,32,11,13,5.7,1
3154_0,16.8,924.0,74.0,174,21,20,2,7.1,1
3206_0,6.9,1440.0,77.0,1970,21,12,12,5.6,1
3231_0,9.0,1723.0,78.0,1569,32,10,10,5.4,1
3233_0,16.4,539.0,79.0,150,31,20,2,6.9,1
3264_0,16.0,520.0,83.0,72,24,22,2,6.8,1
3265_0,15.9,559.0,80.0,219,22,25,2,7.4,1
3282_0,16.3,535.0,84.0,73,32,22,2,7.2,1
3290_0,7.6,1181.0,71.0,1495,31,12,11,5.8,1
3307_0,6.4,726.0,62.0,1769,22,11,12,5.7,1
3312_0,16.1,507.0,83.0,95,31,27,3,7.4,1
3314_0,15.7,528.0,81.0,234,21,27,2,7.0,1
3352_0,16.0,640.0,82.0,52,24,21,2,7.2,1
3369_0,14.6,875.0,84.0,373,42,19,5,6.5,1
3378_0,8.6,1633.0,78.0,1608,32,9,8,5.7,1
3403_0,16.6,668.0,84.0,32,34,23,2,7.3,1
3418_0,16.4,618.0,86.0,41,24,19,2,7.3,1
3424_0,9.7,1060.0,79.0,1181,32,15,9,5.6,1
3445_0,15.0,475.0,88.0,19,22,28,4,7.2,1
3447_0,9.0,1082.0,78.0,1385,21,15,11,6.2,1
3448_0,9.3,418.0,66.0,1266,32,14,2,7.3,1
3449_0,13.8,1317.0,81.0,937,32,21,7,5.7,1
3464_0,16.4,824.0,79.0,189,32,24,2,7.2,1
3468_0,8.0,1143.0,75.0,1496,33,14,18,5.6,1
3473_0,15.6,417.0,88.0,3,34,25,3,7.2,1
3482_0,14.2,1379.0,83.0,542,31,17,7,5.6,1
3488_0,11.5,1615.0,81.0,994,41,24,8,5.7,1
3523_0,10.7,731.0,78.0,1073,22,21,8,5.5,1
3529_0,15.7,469.0,91.0,8,34,24,4,7.0,1
3532_0,16.0,462.0,87.0,4,34,35,4,7.4,1
3576_0,16.9,722.0,72.0,163,32,21,2,7.2,1
3578_0,16.2,481.0,86.0,18,24,26,2,7.6,1
3595_0,15.5,514.0,83.0,216,41,37,2,7.0,1
3613_0,16.0,466.0,87.0,25,34,17,2,6.8,1
3617_0,7.8,1200.0,76.0,1729,21,6,12,5.5,1
3620_0,16.9,965.0,78.0,139,34,23,2,7.3,1
3647_0,15.8,628.0,92.0,114,31,29,3,7.4,1
3652_0,15.8,437.0,86.0,16,24,26,2,7.6,1
3660_0,9.6,893.0,75.0,1324,22,16,9,5.7,1
3679_0,7.2,1152.0,73.0,1775,22,10,16,5.2,1
3680_0,16.2,628.0,83.0,157,11,16,2,7.1,1
3685_0,15.8,471.0,88.0,14,24,29,2,7.6,1
3688_0,16.3,579.0,83.0,26,34,38,5,7.0,1
3689_0,16.4,569.0,83.0,24,24,21,3,6.6,1
3693_0,15.9,436.0,86.0,24,34,31,2,7.6,1
3704_0,16.3,455.0,86.0,15,34,24,2,7.2,1
3706_0,16.8,600.0,77.0,90,24,24,2,7.3,1
3710_0,8.7,995.0,77.0,1355,21,17,10,5.8,1
3721_0,15.8,448.0,88.0,5,24,23,2,7.7,1
3724_0,10.9,1472.0,79.0,1381,32,22,8,6.2,1
3745_0,14.1,993.0,91.0,502,11,24,5,5.3,1
3746_0,15.5,568.0,88.0,219,32,27,2,7.4,1
3752_0,7.4,1102.0,72.0,1545,21,15,12,5.8,1
3755_0,16.2,794.0,74.0,292,41,22,3,7.1,1
3773_0,16.2,419.0,81.0,74,22,18,2,6.6,1
3781_0,15.7,540.0,88.0,118,34,24,3,7.1,1
3785_0,6.8,1316.0,75.0,1872,31,12,15,5.3,1
3833_0,16.6,859.0,79.0,182,34,21,2,7.0,1
3834_0,16.1,505.0,87.0,72,21,25,2,7.1,1
3838_0,9.3,814.0,75.0,1220,41,16,7,6.4,1
3853_0,6.3,1047.0,63.0,1768,31,11,11,5.8,1
3883_0,5.3,847.0,59.0,1956,22,9,10,5.9,1
3887_0,15.8,457.0,87.0,5,34,35,3,7.7,1
3898_0,16.0,598.0,85.0,139,34,20,2,7.1,1
3909_0,15.7,659.0,85.0,275,11,24,2,6.1,1
3910_0,15.6,409.0,82.0,11,34,24,2,7.2,1
3914_0,13.8,1296.0,80.0,927,41,24,8,5.5,1
3938_0,16.3,485.0,88.0,22,41,25,3,7.4,1
3946_0,6.0,952.0,69.0,1961,21,12,10,5.7,1
3954_0,15.4,392.0,88.0,56,22,29,3,6.8,1
3958_0,14.1,1475.0,83.0,784,12,24,7,5.2,1
3994_0,16.2,464.0,88.0,19,24,27,2,7.2,1
3995_0,6.3,746.0,60.0,1778,34,11,8,5.8,1
3997_0,7.6,424.0,57.0,1539,31,12,2,7.3,1
4003_0,10.4,1427.0,82.0,1278,21,20,9,5.2,1
4007_0,14.6,608.0,89.0,377,41,27,4,7.0,1
4010_0,6.3,846.0,64.0,1772,21,11,11,5.8,1
4024_0,16.0,502.0,84.0,74,22,19,2,6.6,1
4029_0,15.8,441.0,88.0,3,34,32,2,7.4,1
